time,total,signal
1,999.0004997501248,
2,1005.8831108026063,
3,1004.3667567976527,
4,1006.5363075052335,
5,1013.1114880672797,
6,1008.5278560023878,
7,1007.6531523707052,
8,1009.9745467980192,
9,1001.2517057697125,
10,995.0253969050015,
11,999.6901310648042,
12,993.6958947779032,
13,987.5200773765602,
14,990.9094239726488,
15,993.0690383926367,
16,995.3497726173593,
17,994.8328022478356,
18,994.8328022478356,
19,994.8328022478356,
20,994.8328022478356,
21,994.8328022478356,
22,994.8328022478356,
23,993.8384666134051,
24,995.3836497370088,
25,999.393632500425,
26,996.8256025161168,
27,995.4385099519735,
28,994.7365177776549,
29,995.6338623643591,
30,997.8705783053049,
31,1004.590989994535,
32,1020.7825336460874,
33,1019.7622612486401,
34,1039.7614539155654,
35,1038.7222120825663,
36,1055.1937286928849,
37,1045.5202233258976,
38,1036.6459237575655,
39,1037.350153622604,
40,1050.509955384453,
41,1055.1109269877797,
42,1069.3944015619195,
43,1069.3944015619195,
44,1069.3944015619195,
45,1068.3255415903434,
46,1068.7607318681082,
47,1073.5392525163743,
48,1078.3278960655464,
49,1085.4536807593922,
50,1085.0109478911713,
51,1085.126866606671,
52,1084.4388472625196,
53,1079.0901786678298,
54,1080.4803841408639,
55,1086.1518112076826,
56,1096.6587348813785,
57,1115.2670181984308,
58,1113.381344014337,
59,1127.69344761003,
60,1138.1255270127585,
61,1144.4350962264048,
62,1159.8031466554696,
63,1159.8031466554696,
64,1159.8031466554696,
65,1158.6439231205818,
66,1162.6566802189143,
67,1164.6561398633091,
68,1151.0768401640287,
69,1154.1752307492627,
70,1148.2500605840003,
71,1154.574613355833,
72,1162.672067434352,
73,1185.107907168596,
74,1185.107907168596,
75,1185.107907168596,
76,1185.107907168596,
77,1185.107907168596,
78,1185.107907168596,
79,1185.107907168596,
80,1183.9233915192522,
81,1192.433325102992,
82,1190.6325539472377,
83,1181.3110469136261,
84,1191.4437008479472,
85,1193.5844546417632,
86,1187.7496100805195,
87,1190.0047339361,
88,1207.158137266421,
89,1206.252562511736,
90,1209.8238680338225,
91,1232.0855588332442,
92,1257.4894140817858,
93,1256.232553098196,
94,1253.814510895998,
95,1261.971773072007,
96,1280.1493976941783,
97,1273.9592979339109,
98,1256.997079391034,
99,1256.918133464418,
100,1262.3562950595838,
101,1261.9629758665253,
102,1259.358769203712,
103,1268.1485342809253,
104,1269.3844912912384,
105,1250.6470832146451,
106,1243.2200740473886,
